model,policy,label,metric,bootstrap_mean,ci_low,ci_high,n_boot,scope
densenet121-res224-pc,ignore_uncertain,Pleural Effusion,auprc_ap,0.11240091851333549,0.08391189044946519,0.14817419489580858,500,common_labels
densenet121-res224-pc,ignore_uncertain,Pneumonia,auroc,0.7974243964853167,0.7678165014087797,0.8230983317739065,500,common_labels
densenet121-res224-pc,ignore_uncertain,Pneumonia,auprc_ap,0.0994480532730018,0.06957188891276621,0.13437274809259325,500,common_labels
densenet121-res224-pc,ignore_uncertain,Pneumothorax,auroc,0.7319148026852274,0.6060276561860146,0.8363621025895999,500,common_labels
densenet121-res224-pc,ignore_uncertain,Pneumothorax,auprc_ap,0.005961567692097963,0.0024985712544972425,0.011068328586529551,500,common_labels
resnet50-res512-all,ignore_uncertain,Atelectasis,auroc,0.7038777667738436,0.6914890407043175,0.7181501049082377,500,common_labels
resnet50-res512-all,ignore_uncertain,Atelectasis,auprc_ap,0.12089640254439823,0.11017241500182068,0.13305376521170909,500,common_labels
resnet50-res512-all,ignore_uncertain,Cardiomegaly,auroc,0.8492996849367103,0.8390724793899345,0.8590087489004141,500,common_labels
resnet50-res512-all,ignore_uncertain,Cardiomegaly,auprc_ap,0.30649747707594155,0.2790084071362037,0.33189372774299675,500,common_labels
resnet50-res512-all,ignore_uncertain,Consolidation,auroc,0.6969782915496308,0.6796302138474972,0.712395175065325,500,common_labels
resnet50-res512-all,ignore_uncertain,Consolidation,auprc_ap,0.10526430600356304,0.09633109915538027,0.11479974248452904,500,common_labels
resnet50-res512-all,ignore_uncertain,Edema,auroc,0.6321696743972121,0.4467634425444684,0.7900024712917229,500,common_labels
