model,policy,label,metric,bootstrap_mean,ci_low,ci_high,n_boot_used,n_boot,unit
densenet121-res224-all,ignore_uncertain,Pneumonia,auroc,0.6934536458310215,0.6630208127359687,0.7217907282041786,200,200,patient
densenet121-res224-all,ignore_uncertain,Pneumonia,auprc_ap,0.022276475197402057,0.018918085864399612,0.026948969022265797,200,200,patient
densenet121-res224-all,ignore_uncertain,Atelectasis,auroc,0.7112621009605681,0.6968579953764191,0.726071317150347,200,200,patient
densenet121-res224-all,ignore_uncertain,Atelectasis,auprc_ap,0.12209907371614388,0.11133710784559617,0.13326789839791994,200,200,patient
densenet121-res224-all,ignore_uncertain,Pneumothorax,auroc,0.7674621007050909,0.6153833625711393,0.8574060242550655,200,200,patient
densenet121-res224-all,ignore_uncertain,Pneumothorax,auprc_ap,0.012511525517670829,0.0025570583233518007,0.037795995189531625,200,200,patient
densenet121-res224-all,ignore_uncertain,Pleural Effusion,auroc,0.8088017963786964,0.7893506888982457,0.8270655183090032,200,200,patient
densenet121-res224-all,ignore_uncertain,Pleural Effusion,auprc_ap,0.16482462691895036,0.13158665590654112,0.20538764195488182,200,200,patient
densenet121-res224-all,ignore_uncertain,Fracture,auroc,0.548055949447428,0.5166483131141004,0.5793080409592797,200,200,patient
densenet121-res224-all,ignore_uncertain,Fracture,auprc_ap,0.014268144893117327,0.011918894398454352,0.017270729266980502,200,200,patient
densenet121-res224-chex,ignore_uncertain,Enlarged Cardiomediastinum,auroc,0.6858903873468749,0.6057833227592456,0.765055520736947,200,200,patient
densenet121-res224-chex,ignore_uncertain,Enlarged Cardiomediastinum,auprc_ap,0.0026847769461209054,0.001479732670474322,0.005216279306864264,200,200,patient
densenet121-res224-chex,ignore_uncertain,Cardiomegaly,auroc,0.7314292464559977,0.7159882526310843,0.7456089701913241,200,200,patient
densenet121-res224-chex,ignore_uncertain,Cardiomegaly,auprc_ap,0.14012750158079545,0.13015920116622587,0.15045824205729733,200,200,patient
densenet121-res224-chex,ignore_uncertain,Lung Lesion,auroc,0.5039943718057078,0.4821525478108699,0.5252826106996551,200,200,patient
densenet121-res224-chex,ignore_uncertain,Lung Lesion,auprc_ap,0.02839962623556401,0.025848312250929654,0.03118470160382718,200,200,patient
densenet121-res224-chex,ignore_uncertain,Lung Opacity,auroc,0.6237833663163201,0.6086338979577139,0.639253173725032,200,200,patient
densenet121-res224-chex,ignore_uncertain,Lung Opacity,auprc_ap,0.10518153159620912,0.09666431584434802,0.11427389884890315,200,200,patient
densenet121-res224-chex,ignore_uncertain,Edema,auroc,0.7196959801834821,0.45900908291054593,0.9159230520635947,199,200,patient
densenet121-res224-chex,ignore_uncertain,Edema,auprc_ap,0.0036027866063310056,0.0006394653575634172,0.011022799895913106,200,200,patient
densenet121-res224-chex,ignore_uncertain,Consolidation,auroc,0.5287956342782216,0.5099307591691024,0.5444639742585589,200,200,patient
densenet121-res224-chex,ignore_uncertain,Consolidation,auprc_ap,0.055518392305729296,0.05105687057420005,0.06045019235404169,200,200,patient
densenet121-res224-chex,ignore_uncertain,Pneumonia,auroc,0.6826694362628323,0.6543578485520593,0.7124891091261004,200,200,patient
densenet121-res224-chex,ignore_uncertain,Pneumonia,auprc_ap,0.02446209653736226,0.019401220449525202,0.030357059508506645,200,200,patient
densenet121-res224-chex,ignore_uncertain,Atelectasis,auroc,0.6373696440611527,0.624026375547412,0.6520652380144013,200,200,patient
