model,policy,label,n,pos,neg,prevalence,auroc,auprc_ap,brier,ece_10bin,degenerate,in_common_set
densenet121-res224-all,ignore_uncertain,Atelectasis,18424,1217,17207,0.06605514546244029,0.7116230190279614,0.12143508558900852,0.10648358028184998,0.146882295022018,False,True
densenet121-res224-all,ignore_uncertain,Pneumothorax,18424,32,18392,0.0017368649587494573,0.7648187731078729,0.009536493698873246,0.09239235144734824,0.23836270450308294,False,True
densenet121-res224-all,ignore_uncertain,Pleural Effusion,18424,501,17923,0.02719279201042119,0.8083179732149827,0.16303578172646752,0.06442231028932466,0.1143052441976878,False,True
densenet121-res224-all,ignore_uncertain,Fracture,18424,239,18185,0.01297221016066001,0.5486747664347024,0.01396309311450982,0.07307091059784841,0.1846209878963309,False,False
densenet121-res224-chex,ignore_uncertain,Enlarged Cardiomediastinum,18423,24,18399,0.0013027194268034523,0.6845707194231571,0.0023897759569986897,0.20168641340261712,0.3829213131724692,False,False
densenet121-res224-chex,ignore_uncertain,Cardiomegaly,18424,1437,16987,0.07799609205384281,0.7326322527780157,0.13947912229736983,0.2089920767988544,0.28767974937052215,False,True
densenet121-res224-chex,ignore_uncertain,Lung Lesion,18416,543,17873,0.02948523023457863,,,,,True,False
densenet121-res224-chex,ignore_uncertain,Lung Opacity,18417,1407,17010,0.07639680729760548,0.6249585197385877,0.1050215217284577,0.26397052619356504,0.3486021757916382,False,False
densenet121-res224-chex,ignore_uncertain,Edema,18424,9,18415,0.0004884932696482848,0.7270160195492805,0.002769825019526963,0.2386910593608809,0.39387768404999457,False,True
densenet121-res224-chex,ignore_uncertain,Consolidation,18424,1033,17391,0.056068171949630916,0.5286032437803867,0.05539620230814996,0.20312742725829272,0.26716244537299716,False,True
densenet121-res224-chex,ignore_uncertain,Pneumonia,18424,240,18184,0.013026487190620929,0.682485518404458,0.023638146614923288,0.10528361439890076,0.21781046849315835,False,True
densenet121-res224-chex,ignore_uncertain,Atelectasis,18424,1217,17207,0.06605514546244029,0.6383258299217909,0.0934911926338729,0.2525269214146341,0.3455122017534249,False,True
densenet121-res224-chex,ignore_uncertain,Pneumothorax,18424,32,18392,0.0017368649587494573,0.666188084493258,0.0031068195620681705,0.05702629346480927,0.16310823768194205,False,True
densenet121-res224-chex,ignore_uncertain,Pleural Effusion,18424,501,17923,0.02719279201042119,0.7616537833221578,0.07267450269684528,0.21127627555481013,0.3178819148325771,False,True
densenet121-res224-chex,ignore_uncertain,Fracture,18424,239,18185,0.01297221016066001,0.5856859359235564,0.017491218395481477,0.17354212104820807,0.33338100383286745,False,False
densenet121-res224-mimic_nb,ignore_uncertain,Enlarged Cardiomediastinum,18423,24,18399,0.0013027194268034523,0.6282134898635795,0.0034824246567913956,0.17229228082147643,0.33254424357224444,False,False
densenet121-res224-mimic_nb,ignore_uncertain,Cardiomegaly,18424,1437,16987,0.07799609205384281,0.7202445203604264,0.13407080170921576,0.22594437550391513,0.32059561768217676,False,True
densenet121-res224-mimic_nb,ignore_uncertain,Lung Lesion,18416,543,17873,0.02948523023457863,0.5510984036231075,0.03278310392298511,0.20991561828083247,0.37476730177405193,False,False
densenet121-res224-mimic_nb,ignore_uncertain,Lung Opacity,18417,1407,17010,0.07639680729760548,0.6521730810130084,0.12360134038045835,0.26541076144988146,0.40575155145414565,False,False
densenet121-res224-mimic_nb,ignore_uncertain,Edema,18424,9,18415,0.0004884932696482848,0.6481310525839442,0.001529981122687826,0.25286915637455937,0.4307445514924506,False,True
densenet121-res224-mimic_nb,ignore_uncertain,Consolidation,18424,1033,17391,0.056068171949630916,0.5868491747492319,0.06748340831221127,0.18174949655062947,0.28464252521216155,False,True
